N,DH39,DH68,DH95,DH99,RH95,RH99,DZ68,DZ95,DZ99,RZ95,RZ99,AREA,A_N_DH39,A_N_DH68,E39,E90,E95,
82,0.0161367484069853,0.0346067826538918,0.0741153905712747,0.103043624150263,2.1416434839527,2.97755573468991,0.245034654950344,0.97638385885315,1.38336406018068,3.98467661258369,5.64558535796098,27.2772439258295,20.614395650158,9.61225779048961,0.44,0.88,0.93,
83,0.0121212382193376,0.0284851857414342,0.0512605776572555,0.0958466044344379,1.79955216450256,3.36478776387337,0.250610906450358,1.14506360977455,1.55743664443264,4.56908929460885,6.21456051730591,27.8063553265165,27.6387876529537,11.7610723088187,0.54,0.95,0.96,
84,0.0159099233752379,0.0326308597748359,0.0750635349929632,0.104238383829372,2.30038483542656,3.19447248857836,0.426548983026743,0.865241743065098,1.25849531735246,2.02846982994882,2.95041218577599,27.0718376718452,20.2567777484888,9.87665614793939,0.46,0.86,0.92,
85,0.0186893314319842,0.0341481396959477,0.0698469439900787,0.110475563053786,2.04540992897389,3.23518540211712,0.263918069097628,0.849941817880271,1.58661920038742,3.2204760393494,6.01178693756093,27.2994168515616,17.1846494984157,9.40518613541001,0.39,0.85,0.91,
86,0.0148055290668323,0.030257958414396,0.0609194709644426,0.0974502294462957,2.01333712374522,3.22064787424426,0.290537399807492,1.00185955994697,1.51583043674152,3.44829808696159,5.21733325122997,27.1036239044207,21.2865353254609,10.4157198306981,0.42,0.92,0.95,
87,0.0189250795221119,0.0316122788434062,0.0579521364550889,0.0739342604839486,1.83321603425552,2.33878300423033,0.41362898200798,1.09525987067999,1.46124561059572,2.64792826015963,3.53274474023082,27.5692083080152,16.7443128281717,10.024188809228,0.48,0.92,0.96,
88,0.01591729639398,0.0365418985318257,0.0665299172153632,0.0801686440640397,1.82064752758863,2.19388283819512,0.244488842096442,1.21439832245758,1.57995751695917,4.9670909806941,6.46228884480518,27.7085560466547,19.7816229139709,8.6166829783458,0.45,0.85,0.94,
89,0.018097888284728,0.032952487019304,0.0562760375969985,0.0623879069611422,1.70779333177588,1.89326853917261,0.248471002487086,0.948764659705818,1.19959752309674,3.81841200868149,4.8279175883274,26.6446121041434,16.5421323958624,9.08513108331153,0.47,0.95,0.97,
90,0.013774572868353,0.0328112275831675,0.0683354182008335,0.0778673111728233,2.08268398454833,2.37319103576515,0.265285831806136,0.931948454692723,1.21655919826937,3.51299746521619,4.58584308851595,27.6279319723056,22.2857742921223,9.35585299685616,0.46,0.93,0.95,
91,0.0137901500903865,0.0324930007733511,0.0734346864570031,0.0984354677432618,2.26001553285993,3.02943604470021,0.291752554149812,1.13026669641934,1.62451772527668,3.87405930245587,5.56813540162705,26.9382395614416,21.466380614063,9.11041158156358,0.43,0.91,0.93,
